channelNumb,JulianDay,PossibleDecayLength(MicroSeconds),StartDecay,EndDecay,FirstSignalTimeOverThreshold(nanoseconds),SecondSignalTimeoverThreshold(nanoseconds),PossibleDecayNumber
6899.4,2460440,0.50125,0.586894221,0.586894221,36.25,22.49,1
6899.1,2460440,4.23875,0.587519291,0.587519291,21.25,10,1
6899.3,2460440,5.43625,0.590844305,0.590844305,27.5,28.75,1
6899.1,2460440,2.19751,0.591565923,0.591565923,28.75,11.24,1
6899.2,2460440,0.925,0.592508362,0.592508362,31.24,41.25,1
6899.3,2460440,1.74375,0.59513551,0.59513551,30,13.76,1
6899.1,2460440,4.58876,0.59556795,0.59556795,32.5,29.99,1
6899.2,2460440,0.63,0.596070332,0.596070332,27.49,15,1
6899.3,2460440,1.895,0.596448232,0.596448232,30,30,1
6899.1,2460440,2.6,0.598137184,0.598137184,20,20,1
6899.3,2460440,1.06376,0.599820988,0.599820988,32.51,18.74,1
6899.1,2460440,7.18625,0.602027259,0.602027259,27.51,16.25,1
6899.4,2460440,8.14625,0.602204264,0.602204264,17.51,16.25,1
6899.1,2460440,5.92875,0.603073317,0.603073317,26.25,7.5,1
6899.4,2460440,0.47499,0.604750355,0.604750355,21.25,15,1
6899.2,2460440,1.0575,0.604866892,0.604866892,18.75,23.76,1
6899.1,2460440,2.5925,0.605278028,0.605278028,25,6.25,1
6899.3,2460440,2.825,0.606067916,0.606067916,11.25,11.25,1
6899.1,2460440,5.42749,0.60630319,0.60630319,20,22.5,1
6899.2,2460440,1.47,0.610596872,0.610596872,18.75,10,1
6899.4,2460440,1.17125,0.611702648,0.611702648,18.74,16.25,1
6899.2,2460440,0.8,0.61199044,0.61199044,25.01,11.26,1
6899.4,2460440,5.44501,0.612185161,0.612185161,40.01,27.49,1
6899.1,2460440,3.12876,0.613036928,0.613036928,23.76,7.49,1
6899.4,2460440,1.54125,0.615202493,0.615202493,31.25,26.25,1
6899.1,2460440,1.36249,0.615645328,0.615645328,25,13.75,1
6899.2,2460440,9.90124,0.615857261,0.615857261,32.49,22.5,1
