channelNumb,JulianDay,PossibleDecayLength(MicroSeconds),StartDecay,EndDecay,FirstSignalTimeOverThreshold(nanoseconds),SecondSignalTimeoverThreshold(nanoseconds),PossibleDecayNumber
6899.2,2459722,3.545,0.407569839,0.40756984,28.75,21.26,1
6899.1,2459722,0.74874,0.408633867,0.408633867,25,16.25,1
6899.2,2459722,13.70875,0.40880124,0.40880124,13.76,18.75,1
6899.1,2459722,1.02125,0.408824303,0.408824303,26.25,28.74,1
6899.4,2459722,4.7025,0.409587349,0.409587349,37.5,21.25,1
6899.3,2459722,2.9575,0.414261163,0.414261163,26.24,33.76,1
6899.4,2459722,1.75125,0.414378074,0.414378074,32.51,17.5,1
6899.4,2459722,0.57125,0.41492203,0.41492203,30,18.76,1
6899.1,2459722,14.8275,0.416834881,0.416834881,15,22.51,1
6899.1,2459722,1.4075,0.417422044,0.417422044,37.5,16.25,1
6899.4,2459722,2.10875,0.418651023,0.418651023,31.25,28.75,1
6899.4,2459722,4.74,0.420706699,0.420706699,31.25,35.01,1
6899.2,2459722,1.51,0.420861276,0.420861276,31.24,26.26,1
6899.2,2459722,1.2625,0.421254215,0.421254215,28.75,16.25,1
6899.2,2459722,4.01625,0.421362549,0.421362549,26.25,25,1
6899.1,2459722,2.4925,0.421371971,0.421371971,30,28.75,1
6899.4,2459722,0.745,0.421437657,0.421437657,30,21.25,1
6899.3,2459722,0.45624,0.42149342,0.42149342,47.5,26.24,1
6899.2,2459722,4.54624,0.423129659,0.423129659,23.75,17.5,1
6899.1,2459722,1.48751,0.424201032,0.424201032,30,12.5,1
6899.1,2459722,6.24874,0.425094839,0.425094839,13.75,21.25,1
6899.4,2459722,2.90624,0.426498584,0.426498584,32.5,26.25,1
6899.1,2459722,2.6625,0.426907334,0.426907334,28.75,16.26,1
6899.4,2459722,5.54751,0.428266746,0.428266746,40,22.49,1
6899.1,2459722,1.41,0.429043059,0.429043059,25,25,1
6899.1,2459722,2.15249,0.429840836,0.429840836,23.75,12.5,1
6899.2,2459722,1.03,0.430303243,0.430303243,31.25,26.24,1
6899.1,2459722,0.4675,0.430469979,0.430469979,21.25,17.51,1
6899.4,2459722,1.24125,0.430828496,0.430828496,31.25,40,1
6899.2,2459722,0.94751,0.430840549,0.430840549,37.51,33.75,1
6899.4,2459722,4.485,0.431527907,0.431527907,31.25,43.75,1
6899.1,2459722,8.53,0.43201525,0.43201525,30,22.5,1
6899.1,2459722,0.68124,0.432396462,0.432396462,29.99,21.25,1
6899.1,2459722,0.82876,0.432786449,0.432786449,17.5,37.5,1
6899.4,2459722,0.88249,0.433121336,0.433121336,30,27.5,1
6899.2,2459722,2.54126,0.435408217,0.435408217,31.25,20,1
6899.2,2459722,3.17875,0.443906265,0.443906265,15,35.01,1
6899.4,2459722,1.87126,0.444674259,0.444674259,26.26,18.74,1
6899.1,2459722,3.40501,0.445520927,0.445520927,30,10,1
6899.4,2459722,1.3925,0.445877058,0.445877058,28.76,15,1
6899.4,2459722,1.16375,0.44640044,0.44640044,28.75,16.25,1
6899.2,2459722,0.81126,0.447266113,0.447266113,13.76,25,1
6899.1,2459722,0.42874,0.447516119,0.447516119,27.5,15,1
6899.1,2459722,11.08625,0.451079065,0.451079065,27.49,22.49,1
6899.1,2459722,4.73001,0.451291954,0.451291954,11.25,14.99,1
6899.1,2459722,5.43501,0.452076731,0.452076731,41.25,27.49,1
6899.2,2459722,5.46875,0.453207522,0.453207522,36.25,40,1
6899.4,2459722,5.70125,0.453970253,0.453970253,35.01,25,1
